taxonID;name;vernacular;Observationer
230772;Taraxacum gotoburgense;göteborgsmaskros;10
244146;Taraxacum klingstedtii;Klingstedts maskros;10
230820;Taraxacum longifrons;långmaskros;10
230902;Taraxacum remanens;locknemaskros;10
230935;Taraxacum subbrevisectum;halltorpsmaskros;10
223806;Xanthium strumarium subsp. strumarium;ljust gullfrö;10
219727;Torilis nodosa;knutkörvel;10
6001192;Acanthocephalus ranae;;10
227209;Augeneria tentaculata;antennmask;10
227555;Myriochele heeri;;10
227561;Sabellaria spinulosa;;10
227824;Ophelina abranchiata;;10
225575;Aporrectodea rosea;rosa daggmask;10
225507;Enchytronia parva;;10
225566;Marionina southerni;;10
264134;Tasserkidrilus acapillatus;;10
200882;Julus terrestris;dolkkejsarfoting;10
235212;Sympherobius pygmaeus;;10
206448;Limnephilus quadratus;;10
6049824;Odontocepheus elongatus;;10
256496;Liochthonius brevis;;10
6007027;Liochthonius evansi;;10
6007048;Neobrachychthonius marginatus;;10
6007085;Oribotritia fennica;;10
6006970;Pneumolaelaps lubricus;;10
219092;Clubiona germanica;dalsäckspindel;10
6045468;Clubiona juvenis;;10
218704;Erigonoplus globipes;tjockfotsdvärgspindel;10
218709;Glyphesis cottonae;minidvärgspindel;10
218771;Maro minutus;torvalvspindel;10
218845;Semljicola angulatus;torvspelspindel;10
218895;Walckenaeria capito;ormhuvudspindel;10
248592;Mughiphantes cornutus;antennmattvävare;10
102017;Zora parallela;myrtaggfoting;10
6009046;Nesticella mogera;;10
102586;Attulus inexpectus;tvillinghoppspindel;10
6009195;Zodarion rubidum;;10
101932;Trogulus tricarinatus;sköldlocke;10
100647;Chthonius ischnocheles;taggklokrypare;10
247530;Axonolaimus spinosus;;10
247534;Campylaimus gerlachi;;10
6039925;Diplopeltoides suecicus;;10
247426;Plectus longicaudatus;;10
6009643;Rhadinema timmi;;10
6326006;Tylenchus naranensis;;10
242064;Emplectonema gracile;musseltråd;10
241586;Cephalothrix rufifrons;brandgul nystmask;10
233424;Callinera buergeri;mindre gråfläck;10
241970;Lineus viridis;grön ålgräsmask;10
248070;Provortex tubiferus;;10
244149;Proxenetes quinquespinosus;;10
247579;Cicerina brevicirrus;;10
247587;Zonorhynchus seminascatus;;10
247632;Scanorhynchus forcipatus;;10
247613;Psammorhynchus tubulipenis;;10
247570;Cheliplanilla caudata;;10
245296;Diopisthoporus longitubus;;10
230036;Sphaerellothecium minutum;;10
230105;Stigmidium ephebes;;10
232259;Stigmidium mycobilimbiae;;10
6023885;Taeniolella scripta;;10
228674;Taeniolella arthoniae;lavsammetsmögel;10
230134;Taeniolella delicata;;10
229677;Polyblastia intermedia;mellanmursporing;10
228741;Sclerococcum amygdalariae;;10
230554;Sarcogyne distinguenda;klotsporig skifferlav;10
249990;Rinodina oleae;;10
230454;Lecanora subcarnea var. soralifera;;10
229384;Aspicilia praeruptorum;;10
229916;Rhizoplaca subdiscrepans;gul navelkantlav;10
1786;Byssoloma marginatum;trådöga;10
6000409;Micarea hylocomii;;10
249967;Micarea paratropa;;10
6051063;Biatora radicicola;;10
228969;Lecania turicensis;;10
230071;Stereocaulon capitellatum;huvudpåskrislav;10
230458;Lecidea auriculata subsp. brachyspora;;10
229116;Lecidea huxariensis;;10
229156;Lecidea scabridula;;10
228892;Halecania viridescens;;10
6000220;Blastenia hungarica;ljus rostorangelav;10
229764;Protothelenella petri;mossögonlav;10
229249;Cryptodiscus cladoniicola;;10
228183;Oxneriaria dendroplaca;fingrad gråstenslav;10
6038856;Ochrolechia brodoi;kvistörnlav;10
