Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
101892;5375;Tetrops starkii;askdvärgbock;Art;114;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
100304;5388;Anoplodera sexguttata;sexfläckig blombock;Art;814;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
101199;5392;Etorofus pubescens;hårig blombock;Art;494;Skog (S) - Stor betydelse;NT;B2ab(iii)
101198;5407;Lepturalia nigripes;nordlig blombock;Art;172;Skog (S) - Stor betydelse;EN;B2ab(iii)
101200;5416;Pedostrangalia revestita;almblombock;Art;202;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(iii)
100303;5430;Stictoleptura scutellata;bokblombock;Art;559;Skog (S) - Stor betydelse;VU;B2ab(iii,iv)
101859;5433;Strangalia attenuata;smalvingad blombock;Art;881;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100164;5443;Euracmaeops marginatus;kantad kulhalsbock;Art;133;Skog (S) - Stor betydelse;EN;B2ab(iii)c(iv)
100165;5444;Euracmaeops septentrionis;korthårig kulhalsbock;Art;499;Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;NT;A2c+3c
100974;5447;Evodinus borealis;mindre frågeteckenbock;Art;225;Skog (S) - Stor betydelse;VU;B2ab(iii,iv)
105904;5453;Pachyta lamed;bandad skulderbock;Art;791;Skog (S) - Stor betydelse;NT;B2ab(iii)
101704;5461;Rhagium sycophanta;ekträdlöpare;Art;1257;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(iii)
105894;5477;Ergates faber;smedbock;Art;671;Skog (S) - Stor betydelse;NT;B2ab(iii)
101920;5480;Tragosoma depsarium;raggbock;Art;3193;Skog (S) - Stor betydelse;VU;B2ab(iii,iv)
101629;5483;Prionus coriarius;taggbock;Art;2014;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100397;5487;Arhopalus ferus;kustbarkbock;Art;23;Skog (S) - Stor betydelse;EN;B2ab(iii)
102186;5491;Asemum tenuicorne;slät barkbock;Art;13;Skog (S) - Stor betydelse;CR;B1ab(iii)c(iv)
101410;5493;Nothorhina muricata;reliktbock;Art;9183;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;A2c+3c
100342;5541;Aphthona violacea;kärrtörelsjordloppa;Art;71;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2b(iii)
106145;5554;Chaetocnema aerosa;sävjordloppa;Art;78;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2b(iii)
106147;5565;Chaetocnema confusa;bronsjordloppa;Art;20;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse;NT;B2b(iii)
100819;5588;Dibolia occultans;vattenmyntejordloppa;Art;103;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
102291;5606;Longitarsus apicalis;spetsfläcksjordloppa;Art;46;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Våtmark (V) - Har betydelse;NT;B2b(iii)
101232;5614;Longitarsus ferrugineus;större myntejordloppa;Art;25;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2ab(iii)
101235;5627;Longitarsus lycopi;mindre myntejordloppa;Art;98;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
102293;5628;Longitarsus medvedevi;alvarjordloppa;Art;27;Jordbrukslandskap (J) - Stor betydelse;VU;B1ab(iii)+2ab(iii)
101236;5635;Longitarsus niger;svartkämpsjordloppa;Art;81;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
101237;5640;Longitarsus ochroleucus;ljusgul jordloppa;Art;42;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse;NT;B2b(iii)
101238;5641;Longitarsus parvulus;mindre linjordloppa;Art;164;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2b(iii)c(iv)
